,orbs_ratio,number_of_matches,number_good_matches,hamming_dct_post_resize_and_gray,descriptors_generation_time(ns),matcher_computation_time(ns)
731,0.009478672985781991,422,4,30,0,0
732,0.4,417,168,12,0,0
733,0.02576112412177986,427,11,30,15625000,15625000
734,0.6292682926829268,410,258,2,0,0
735,0.0024752475247524753,404,1,32,0,125000000
736,1.0,384,384,0,0,0
737,0.6754807692307693,416,281,2,15625000,15625000
738,0.0024752475247524753,397,1,30,0,0
739,0.005025125628140704,398,2,26,15625000,15625000
740,0.0,387,0,30,0,0
741,0.05263157894736842,380,20,24,0,125000000
742,0.24401913875598086,418,102,16,0,0
743,0.9925093632958801,267,265,0,15625000,15625000
744,0.423444976076555,418,177,10,15625000,15625000
745,0.01567398119122257,319,5,28,0,0
746,0.5750577367205543,433,249,12,0,0
747,1.0,444,444,0,15625000,15625000
748,0.007075471698113208,424,3,30,0,0
749,0.6910377358490566,424,293,0,15625000,15625000
750,0.9976470588235294,425,424,0,0,0
751,0.015730337078651686,445,7,26,0,125000000
752,0.5034965034965035,429,216,6,0,0
753,0.4718498659517426,373,176,18,0,0
754,0.8349282296650717,417,349,2,15625000,15625000
755,0.002304147465437788,429,1,30,15625000,15625000
756,0.44919786096256686,374,168,18,0,0
757,1.0,384,384,0,0,78125000
758,1.0,428,428,0,0,0
759,0.48699763593380613,423,206,16,0,0
760,0.0,431,0,34,0,0
761,0.5452436194895591,428,235,6,0,0
762,1.0,435,435,0,0,0
763,0.004618937644341801,419,2,36,0,0
764,1.0,357,357,0,0,0
765,0.07936507936507936,441,35,18,0,0
766,0.5376884422110553,398,214,8,15625000,15625000
767,0.8815165876777251,417,372,0,15625000,15625000
768,0.004629629629629629,432,2,32,15625000,15625000
769,0.05411764705882353,425,23,32,15625000,15625000
770,0.02364066193853428,423,10,30,0,0
771,0.41568627450980394,253,106,10,0,0
772,0.35989717223650386,389,140,8,0,0
773,1.0,379,379,0,0,0
774,1.0,431,431,0,0,0
775,1.0,434,434,0,15625000,15625000
776,0.015945330296127564,439,7,32,0,0
777,1.0,425,425,0,15625000,15625000
778,1.0,427,427,0,0,0
779,1.0,357,357,0,0,0
780,1.0,426,426,0,15625000,15625000
781,0.20531400966183574,414,85,16,0,0
782,0.004640371229698376,431,2,36,0,0
783,0.20654911838790932,397,82,28,0,0
784,1.0,429,429,0,0,0
785,1.0,420,420,0,0,0
786,0.8483290488431876,389,330,0,0,0
787,1.0,397,397,0,15625000,15625000
788,0.38106796116504854,412,157,10,0,0
789,0.8791469194312796,422,371,0,0,0
790,0.5257009345794392,427,225,2,0,0
791,0.5352480417754569,378,205,8,0,0
792,0.41284403669724773,436,180,10,0,109375000
793,0.3741339491916859,433,162,6,15625000,15625000
794,1.0,384,384,0,15625000,15625000
795,0.46352941176470586,425,197,10,0,0
796,1.0,403,403,0,0,125000000
797,1.0,425,425,0,0,0
798,0.01182033096926714,417,5,40,0,0
799,0.0,445,0,24,15625000,15625000
800,0.8423645320197044,406,342,0,0,0
801,0.6548463356973995,423,277,2,15625000,15625000
802,0.4743276283618582,409,194,10,0,0
803,0.0024449877750611247,409,1,32,0,0
804,0.3917525773195876,388,152,8,0,0
805,0.08899297423887588,420,38,20,0,0
806,0.013574660633484163,442,6,24,0,0
807,1.0,403,403,0,0,0
808,1.0,405,405,0,0,0
809,0.6,418,252,6,0,0
810,0.10426540284360189,420,44,18,0,0
811,1.0,369,369,0,15625000,15625000
812,0.009324009324009324,427,4,18,0,0
813,0.8061224489795918,380,316,0,15625000,15625000
814,0.004975124378109453,402,2,26,0,0
815,0.815242494226328,427,353,2,15625000,15625000
816,1.0,432,432,0,0,0
817,0.4119106699751861,403,166,8,15625000,15625000
818,0.04205607476635514,428,18,32,15625000,15625000
